Gruppe	Geschlecht	Subject_id	Ort	Dia	Alter	NDeu	NEngl	NMathe	Gminiq3	Soz	Schule	Klasse
0	0	31	HRO	KG	15	2	3	3	36	2	CJD	9b
0	0	35	HRO	KG	15	2	2	2	31	2	CJD	9b
0	0	37	HRO	KG	15	2	2	3	33	2	CJD	9b
0	0	38	HRO	KG	15	2	1	1	28	2	CJD	9b
0	0	39	HRO	KG	15	2	2	1	45	2	CJD	9b
0	0	40	HRO	KG	15	1	2	1	37	2	CJD	9b
0	0	41	HRO	KG	15	2	3	2	28	2	CJD	9b
0	0	44	HRO	KG	11	1	1	1	21	2	CJD	5b
0	0	45	HRO	KG	10	1	2	2	31	2	CJD	5b
0	0	48	HRO	KG	11	2	1	2	24	2	CJD	5b
0	0	51	HRO	KG	11	1	1	1	39	2	CJD	5b
0	0	56	HRO	KG	11	1	1	1	21	2	CJD	5b
0	0	57	HRO	KG	11	2	2	2	30	2	CJD	5b
0	0	58	HRO	KG	11	1	2	1	18	2	CJD	5b
0	1	1032	HRO	KG	15	1	1	2	59	2	CJD	9b
0	1	1033	HRO	KG	15	1	1	2	47	2	CJD	9b
0	1	1034	HRO	KG	15	1	2	3	47	2	CJD	9b
0	1	1036	HRO	KG	13	2	1	3	54	2	CJD	9b
0	1	1042	HRO	KG	15	2	1	2	52	2	CJD	9b
0	1	1043	HRO	KG	15	2	2	3	42	2	CJD	9b
0	1	1047	HRO	KG	11	1	2	1	25	2	CJD	5b
0	1	1050	HRO	KG	11	2	2	2	33	2	CJD	5b
0	1	1052	HRO	KG	10	1	1	1	25	2	CJD	5b
0	1	1054	HRO	KG	11	1	1	1	26	2	CJD	5b
0	1	1055	HRO	KG	11	1	1	1	27	2	CJD	5b
0	0	20061	HRO	KG	13	3	4	2	26	2	CJD	7b
0	0	20062	HRO	KG	12	2	2	1	40	2	CJD	7b
0	0	20063	HRO	KG	13	1	3	2	32	2	CJD	7b
0	0	20065	HRO	KG	13	1	1	2	54	2	CJD	7b
0	0	20067	HRO	KG	16	1	2	1	42	2	CJD	10b
0	0	20069	HRO	KG	15	2	2	2	29	2	CJD	10b
0	0	20071	HRO	KG	16	3	3	3	38	2	CJD	10b
0	0	20072	HRO	KG	16	1	2	1	31	2	CJD	10b
0	0	20074	HRO	KG	12	2	2	1	26	2	CJD	6b
0	0	20075	HRO	KG	12	1	1	1	30	2	CJD	6b
0	0	20078	HRO	KG	10	2	2	1	33	2	CJD	6b
0	0	20079	HRO	KG	12	2	1	2	31	2	CJD	6b
0	0	20080	HRO	KG	12	2	2	3	27	2	CJD	6b
0	0	20081	HRO	KG	11	1	1	2	41	2	CJD	6b
0	0	20084	HRO	KG	12	1	2	2	25	2	CJD	6b
0	0	20085	HRO	KG	17	3	2	1	35	2	CJD	11b
0	0	20086	HRO	KG	17	2	2	2	40	2	CJD	11b
0	0	20087	HRO	KG	17	2	1	1	39	2	CJD	11b
0	0	20088	HRO	KG	17	2	1	2	43	2	CJD	11b
0	0	20093	HRO	KG	13	2	2	2	27	2	CJD	8b
0	0	20096	HRO	KG	14	1	2	1	28	2	CJD	8b
0	0	20098	HRO	KG	14	3	3	3	36	2	CJD	8b
0	0	20099	HRO	KG	14	3	3	2	31	2	CJD	8b
0	0	20101	HRO	KG	14	1	1	1	35	2	CJD	8b
0	0	20102	HRO	KG	13	4	3	2	29	2	CJD	8b
0	0	20104	HRO	KG	14	2	3	2	30	2	CJD	8b
0	0	20105	HRO	KG	14	1	1	1	31	2	CJD	8b
0	0	20106	HRO	KG	13	2	2	3	28	2	CJD	8b
0	0	20117	HRO	KG	10	4	2	2	26	2	Don Bosco	5a
0	0	20118	HRO	KG	11	2	2	1	36	2	Don Bosco	5a
0	0	20119	HRO	KG	11	2	2	2	18	2	Don Bosco	5a
0	0	20120	HRO	KG	11	4	2	2	23	2	Don Bosco	5a
0	0	20126	HRO	KG	13	2	2	2	23	2	Don Bosco	7b
